frame,tNs,minDistNm,nInside1nm,U_pep_His,U_tot,theta,q_His
148,14800,0.76991672,1,2.98667909,-99.66784567,0.50000000,0.50000000
149,14900,0.60531229,1,3.72601333,-51.84144315,0.50000000,0.50000000
150,15000,0.86053121,1,2.59124797,-81.79580071,0.50000000,0.50000000
151,15100,0.69806288,1,3.17062609,-64.44882758,0.50000000,0.50000000
152,15200,0.81302123,1,3.03182253,-60.24603352,0.50000000,0.50000000
153,15300,0.73219998,2,3.31073679,-77.40134030,0.50000000,0.50000000
154,15400,0.66681031,1,3.57395255,-77.13112101,0.50000000,0.50000000
155,15500,0.62185685,2,3.79554532,-93.05255796,0.50000000,0.50000000
156,15600,0.93431934,1,2.30577778,-73.41285059,0.50000000,0.50000000
157,15700,0.82080787,2,3.05042044,-52.28948465,0.50000000,0.50000000
158,15800,0.51285457,1,4.31959791,-57.47157624,0.50000000,0.50000000
159,15900,0.80504144,1,2.87333878,-63.10227678,0.50000000,0.50000000
160,16000,0.62410163,1,3.78676917,-75.90027501,0.50000000,0.50000000
161,16100,0.82537217,2,2.86011433,-58.96717564,0.50000000,0.50000000
162,16200,0.47890033,1,4.87397955,-63.42807334,0.50000000,0.50000000
163,16300,0.74571826,2,3.28483017,-80.21100117,0.50000000,0.50000000
164,16400,0.60042349,1,3.72554302,-50.04683331,0.50000000,0.50000000
165,16500,0.77840355,1,2.95999625,-80.44568234,0.50000000,0.50000000
166,16600,0.47776303,1,5.17020551,-51.10673443,0.50000000,0.50000000
167,16700,0.75983144,1,2.89681671,-61.72120767,0.50000000,0.50000000
168,16800,0.66032053,1,3.71052113,-77.71258520,0.50000000,0.50000000
169,16900,0.68281227,1,3.01892585,-46.56304607,0.50000000,0.50000000
170,17000,0.69276807,1,3.47243992,-102.10349139,0.50000000,0.50000000
171,17100,0.72492323,1,3.12084748,-47.78757099,0.50000000,0.50000000
172,17200,0.80181656,1,2.66725151,-66.32604704,0.50000000,0.50000000
173,17300,0.46435604,1,5.16539569,-70.64608136,0.50000000,0.50000000
174,17400,0.72174111,2,3.57600775,-67.01578880,0.50000000,0.50000000
175,17500,0.72420137,1,2.69244736,-54.93695742,0.50000000,0.50000000
176,17600,0.67242339,1,3.54398148,-85.79086299,0.50000000,0.50000000
177,17700,0.79683776,1,2.63607729,-59.13864041,0.50000000,0.50000000
178,17800,0.74379654,1,3.00957408,-77.80554027,0.50000000,0.50000000
179,17900,0.63091956,1,3.60583545,-60.12731015,0.50000000,0.50000000
180,18000,0.65037832,1,3.62069592,-52.37323808,0.50000000,0.50000000
181,18100,0.76120624,1,3.13298129,-86.04976074,0.50000000,0.50000000
182,18200,0.53737642,1,4.40307810,-46.96071371,0.50000000,0.50000000
183,18300,0.75389964,1,3.08257095,-105.33371699,0.50000000,0.50000000
184,18400,0.55870760,1,4.30548404,-47.80295206,0.50000000,0.50000000
185,18500,0.66972620,1,3.32899529,-172.31164489,0.50000000,0.50000000
186,18600,0.83486564,1,2.82945637,-44.68546462,0.50000000,0.50000000
187,18700,0.90746037,1,2.17907925,-45.75761683,0.50000000,0.50000000
188,18800,0.67489280,1,3.46687014,-84.51640389,0.50000000,0.50000000
189,18900,0.78202067,1,2.79783396,-45.56403283,0.50000000,0.50000000
190,19000,0.73639120,1,3.28277821,-73.34792562,0.50000000,0.50000000
191,19100,0.70638680,1,2.66859884,-47.75221719,0.50000000,0.50000000
192,19200,0.69091204,1,3.57383908,-131.66777447,0.50000000,0.50000000
193,19300,0.58635152,1,3.45811421,-56.29141474,0.50000000,0.50000000
194,19400,0.73707499,1,3.28871306,-80.20338022,0.50000000,0.50000000
195,19500,0.61780871,1,3.35760960,-59.32115253,0.50000000,0.50000000
196,19600,0.75859160,1,3.01445970,-59.19156357,0.50000000,0.50000000
197,19700,0.66235415,1,3.20452479,-78.32534564,0.50000000,0.50000000
198,19800,0.73356752,1,3.27364605,-60.76666380,0.50000000,0.50000000
199,19900,0.80972065,1,2.39718541,-59.58013750,0.50000000,0.50000000
200,20000,0.51329755,1,4.85251549,-49.31476447,0.50000000,0.50000000
