frame,tNs,minDistNm,nInside1nm,U_pep_His,U_tot,theta,q_His
181,18100,1.02082715,0,6.06728988,-210.76916745,0.50000000,0.50000000
182,18200,0.67745076,1,11.78851057,-232.28538270,0.50000000,0.50000000
183,18300,0.97888425,1,6.78350679,-260.28815605,0.50000000,0.50000000
184,18400,0.72526610,1,10.77227313,-188.78600397,0.50000000,0.50000000
185,18500,0.85703644,1,7.51356861,-320.32675520,0.50000000,0.50000000
186,18600,1.02746754,0,8.83899748,-168.84095459,0.50000000,0.50000000
187,18700,1.08056575,0,6.04609549,-232.38265265,0.50000000,0.50000000
188,18800,0.71346839,1,11.76483406,-195.26221323,0.50000000,0.50000000
189,18900,1.06317637,0,6.10754582,-245.12954964,0.50000000,0.50000000
190,19000,0.71677670,1,11.96472727,-192.96083479,0.50000000,0.50000000
191,19100,1.07713272,0,5.58469502,-174.74677806,0.50000000,0.50000000
192,19200,0.75473951,1,11.36282606,-264.88028142,0.50000000,0.50000000
193,19300,1.02902055,0,6.11100521,-207.28438700,0.50000000,0.50000000
194,19400,0.78513972,1,10.27866865,-252.79642576,0.50000000,0.50000000
195,19500,1.06863232,0,6.08223312,-209.87302444,0.50000000,0.50000000
196,19600,0.80372177,1,10.72852415,-245.42567940,0.50000000,0.50000000
197,19700,1.09630915,0,5.69359878,-165.69791888,0.50000000,0.50000000
198,19800,0.80108795,1,10.20922972,-405.83125976,0.50000000,0.50000000
199,19900,1.23520949,0,5.07227518,-149.51255142,0.50000000,0.50000000
200,20000,0.77271048,1,10.80913715,-326.18776412,0.50000000,0.50000000
